"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6640","should show error for wrong password","chromium","2026-03-31","passed","2026-03-31","Login Page","login.spec.js","",""
"","8851","should show error when subject not selected","chromium","2026-03-31","passed","2026-03-31","Contact Page","contact.spec.js","",""
"","8083","should add product to cart","webkit","2026-03-31","passed","2026-03-31","Products Page — POM","products.pom.spec.js","",""
"","10196","should filter by electronics category","chromium","2026-03-31","passed","2026-03-31","Products Page","products.spec.js","",""
"","7836","should sort products by price low to high","webkit","2026-03-31","passed","2026-03-31","Products Page — POM","products.pom.spec.js","",""
"","6857","should sort products by price low to high","chromium","2026-03-31","passed","2026-03-31","Products Page","products.spec.js","",""
"","7237","should search and filter products","webkit","2026-03-31","passed","2026-03-31","Products Page — POM","products.pom.spec.js","",""
"","14849","should add product and see it in cart","chromium","2026-03-31","passed","2026-03-31","Cart Page","cart.spec.js","",""
"","10745","should show error for wrong password","webkit","2026-03-31","passed","2026-03-31","Login Page","login.spec.js","",""
"","9362","should show error for wrong password","chromium","2026-03-31","passed","2026-03-31","Login Page — POM","login.pom.spec.js","",""
"","7629","should show total price in order summary","webkit","2026-03-31","passed","2026-03-31","Cart Page","cart.spec.js","",""
"","13461","should submit form successfully with valid data","webkit","2026-03-31","passed","2026-03-31","Contact Page","contact.spec.js","",""
"","10630","should increase quantity of item in cart","webkit","2026-03-31","passed","2026-03-31","Cart Page","cart.spec.js","",""
"","9146","should load login page successfully","webkit","2026-03-31","passed","2026-03-31","Login Page","login.spec.js","",""
"","11598","should search and filter products","chromium","2026-03-31","passed","2026-03-31","Products Page","products.spec.js","",""
"","8230","should sort products by price low to high","webkit","2026-03-31","passed","2026-03-31","Products Page","products.spec.js","",""
"","11341","should show error when fields are empty","webkit","2026-03-31","passed","2026-03-31","Login Page — POM","login.pom.spec.js","",""
"","3376","should show error for wrong email","chromium","2026-03-31","passed","2026-03-31","Login Page — POM","login.pom.spec.js","",""
"","10144","should login successfully with valid credentials","chromium","2026-03-31","passed","2026-03-31","Login Page — POM","login.pom.spec.js","",""
"","8637","should remove item from cart","webkit","2026-03-31","passed","2026-03-31","Cart Page","cart.spec.js","",""
"","16647","should increase quantity of item in cart","chromium","2026-03-31","passed","2026-03-31","Cart Page","cart.spec.js","",""
"","7804","should show error when fields are empty","webkit","2026-03-31","passed","2026-03-31","Login Page","login.spec.js","",""
"","7654","should show error for wrong password","webkit","2026-03-31","passed","2026-03-31","Login Page — POM","login.pom.spec.js","",""
"","8991","should filter by electronics category","webkit","2026-03-31","passed","2026-03-31","Products Page — POM","products.pom.spec.js","",""
"","6504","should load login page successfully","webkit","2026-03-31","passed","2026-03-31","Login Page — POM","login.pom.spec.js","",""
"","14040","should remove item from cart","chromium","2026-03-31","passed","2026-03-31","Cart Page","cart.spec.js","",""
"","6606","should login successfully with valid credentials","chromium","2026-03-31","passed","2026-03-31","Login Page","login.spec.js","",""
"","8887","should sort products by price low to high","chromium","2026-03-31","passed","2026-03-31","Products Page — POM","products.pom.spec.js","",""
"","9363","should checkout and clear cart","webkit","2026-03-31","passed","2026-03-31","Cart Page","cart.spec.js","",""
"","12419","should login successfully with valid credentials","webkit","2026-03-31","passed","2026-03-31","Login Page","login.spec.js","",""
"","9295","should login successfully with valid credentials","webkit","2026-03-31","passed","2026-03-31","Login Page — POM","login.pom.spec.js","",""
"","14823","should load products page successfully","chromium","2026-03-31","passed","2026-03-31","Products Page — POM","products.pom.spec.js","",""
"","14543","should show total price in order summary","chromium","2026-03-31","passed","2026-03-31","Cart Page","cart.spec.js","",""
"","13329","should load login page successfully","chromium","2026-03-31","passed","2026-03-31","Login Page","login.spec.js","",""
"","6790","should load cart page successfully","webkit","2026-03-31","passed","2026-03-31","Cart Page","cart.spec.js","",""
"","7339","should show errors when form is empty","webkit","2026-03-31","passed","2026-03-31","Contact Page","contact.spec.js","",""
"","13662","should submit form successfully with valid data","chromium","2026-03-31","passed","2026-03-31","Contact Page","contact.spec.js","",""
"","9138","should add product to cart","webkit","2026-03-31","passed","2026-03-31","Products Page","products.spec.js","",""
"","8216","should load login page successfully","chromium","2026-03-31","passed","2026-03-31","Login Page — POM","login.pom.spec.js","",""
"","5524","should show error for wrong email","chromium","2026-03-31","passed","2026-03-31","Login Page","login.spec.js","",""
"","7933","should show error for wrong email","webkit","2026-03-31","passed","2026-03-31","Login Page — POM","login.pom.spec.js","",""
"","11884","should checkout and clear cart","chromium","2026-03-31","passed","2026-03-31","Cart Page","cart.spec.js","",""
"","7552","should load products page successfully","webkit","2026-03-31","passed","2026-03-31","Products Page — POM","products.pom.spec.js","",""
"","8729","should show error for invalid email","chromium","2026-03-31","passed","2026-03-31","Contact Page","contact.spec.js","",""
"","9042","should filter by electronics category","chromium","2026-03-31","passed","2026-03-31","Products Page — POM","products.pom.spec.js","",""
"","3570","should show error when fields are empty","chromium","2026-03-31","passed","2026-03-31","Login Page — POM","login.pom.spec.js","",""
"","14186","should search and filter products","chromium","2026-03-31","passed","2026-03-31","Products Page — POM","products.pom.spec.js","",""
"","20631","should show empty cart when no items added","chromium","2026-03-31","passed","2026-03-31","Cart Page","cart.spec.js","",""
"","13377","should load cart page successfully","chromium","2026-03-31","passed","2026-03-31","Cart Page","cart.spec.js","",""
"","9904","should show error when subject not selected","webkit","2026-03-31","passed","2026-03-31","Contact Page","contact.spec.js","",""
"","8553","should add product and see it in cart","webkit","2026-03-31","passed","2026-03-31","Cart Page","cart.spec.js","",""
"","8428","should load products page successfully","webkit","2026-03-31","passed","2026-03-31","Products Page","products.spec.js","",""
"","10910","should load contact page successfully","chromium","2026-03-31","passed","2026-03-31","Contact Page","contact.spec.js","",""
"","12667","should load products page successfully","chromium","2026-03-31","passed","2026-03-31","Products Page","products.spec.js","",""
"","11499","should add product to cart","chromium","2026-03-31","passed","2026-03-31","Products Page — POM","products.pom.spec.js","",""
"","6511","should show error when fields are empty","chromium","2026-03-31","passed","2026-03-31","Login Page","login.spec.js","",""
"","9563","should search and filter products","webkit","2026-03-31","passed","2026-03-31","Products Page","products.spec.js","",""
